Pos,ID,Name,BV,SV,Team,31_xMins,32_xMins,33_xMins,34_xMins,35_xMins,36_xMins,37_xMins,38_xMins,31_Pts,32_Pts,33_Pts,34_Pts,35_Pts,36_Pts,37_Pts,38_Pts
F,31,G.Jesus,6.4,6.4,Arsenal,0.00,16.20,32.40,0.00,16.20,16.20,16.20,16.20,0.00,0.99,1.67,0.00,0.95,0.90,1.09,0.86
G,32,Martinez,5.1,5.1,Aston Villa,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,3.21,3.29,3.94,3.19,3.43,3.74,2.77,2.69
G,33,M.Bizot,4.2,4.2,Aston Villa,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.03,0.03,0.04,0.03,0.03,0.04,0.03,0.02
D,36,Cash,4.7,4.7,Aston Villa,65.25,84.00,84.00,84.00,84.00,84.00,84.00,84.00,2.91,3.20,4.23,3.20,3.84,4.05,2.89,2.21
D,37,Digne,4.5,4.5,Aston Villa,22.65,22.65,22.65,22.65,22.65,22.65,22.65,22.65,1.04,0.95,1.15,0.95,1.07,1.10,0.88,0.74
D,38,Konsa,4.4,4.4,Aston Villa,84.75,84.75,84.75,84.75,84.75,84.75,84.75,84.75,3.39,3.02,3.97,3.01,3.52,3.78,2.66,2.05
D,39,Maatsen,4.2,4.2,Aston Villa,73.20,73.20,73.20,73.20,73.20,73.20,73.20,73.20,3.82,3.36,4.32,3.41,3.95,4.20,3.08,2.39
D,40,Mings,4.3,4.3,Aston Villa,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,3.22,2.89,3.72,2.88,3.39,3.60,2.66,2.05
D,41,Pau,4.3,4.3,Aston Villa,15.15,15.15,15.15,15.15,15.15,15.15,15.15,15.15,0.61,0.58,0.69,0.60,0.64,0.66,0.54,0.48
D,42,A.García,3.9,3.9,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,44,Bogarde,4.0,4.0,Aston Villa,36.75,15.60,15.60,15.60,15.60,15.60,15.60,15.60,1.48,0.54,0.62,0.55,0.59,0.59,0.53,0.47
M,47,Rogers,7.5,7.5,Aston Villa,87.00,87.00,87.00,87.00,87.00,87.00,87.00,87.00,4.33,3.78,4.41,3.87,4.43,4.42,3.77,3.28
M,48,Tielemans,5.9,5.9,Aston Villa,0.00,84.00,84.00,84.00,84.00,84.00,84.00,84.00,0.00,3.70,3.99,3.59,4.11,4.09,3.59,3.41
M,49,Bailey,5.5,5.5,Aston Villa,12.90,12.90,12.90,12.90,12.90,12.90,12.90,12.90,0.65,0.60,0.68,0.60,0.69,0.67,0.59,0.52
M,50,Buendía,5.3,5.3,Aston Villa,51.60,38.40,38.40,38.40,38.40,38.40,38.40,38.40,2.88,1.99,2.21,1.98,2.27,2.21,1.94,1.74
M,52,J.Ramsey,5.3,5.3,Newcastle,76.50,26.10,52.20,0.00,26.10,26.10,26.10,26.10,3.43,1.15,2.22,0.00,1.20,1.15,1.25,1.15
M,54,McGinn,5.3,5.3,Aston Villa,75.45,75.45,75.45,75.45,75.45,75.45,75.45,75.45,3.40,3.13,3.52,3.09,3.48,3.51,3.06,2.77
M,55,Barkley,4.8,4.8,Aston Villa,12.45,12.45,12.45,12.45,12.45,12.45,12.45,12.45,0.58,0.56,0.60,0.61,0.69,0.63,0.58,0.55
M,58,Kamara,4.9,4.9,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,59,Onana,4.8,4.8,Aston Villa,79.80,28.50,28.50,28.50,28.50,28.50,28.50,28.50,3.09,1.11,1.15,1.09,1.19,1.17,1.06,1.05
F,64,Watkins,8.5,8.5,Aston Villa,79.05,79.05,79.05,79.05,79.05,79.05,79.05,79.05,4.55,3.95,4.49,4.04,4.64,4.55,3.96,3.41
G,67,Petrović,4.5,4.5,Bournemouth,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,2.83,2.53,2.77,3.27,3.46,2.97,2.73,3.17
G,69,McKenna,3.9,3.9,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,72,Senesi,5.1,5.1,Bournemouth,86.70,86.70,86.70,86.70,86.70,86.70,86.70,86.70,3.61,3.17,3.52,4.49,4.50,3.80,3.10,3.87
D,73,Smith,4.4,4.4,Bournemouth,22.20,18.90,18.90,18.90,18.90,18.90,18.90,18.90,0.73,0.55,0.59,0.72,0.70,0.65,0.57,0.65
D,74,Truffert,4.6,4.6,Bournemouth,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,3.12,2.62,3.00,3.98,3.98,3.24,2.65,3.37
D,75,Akinmboni,3.8,3.8,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,76,Bevan,3.8,3.8,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,77,Hill,4.2,4.2,Bournemouth,85.20,85.20,85.20,85.20,85.20,85.20,85.20,85.20,3.72,3.24,3.59,4.56,4.55,3.87,3.19,3.97
D,80,Soler,4.0,4.0,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,81,Kluivert,6.9,6.9,Bournemouth,0.00,44.55,44.55,44.55,44.55,44.55,44.55,44.55,0.00,1.83,2.28,2.59,2.62,2.37,2.24,2.31
M,82,Semenyo,8.2,8.2,Man City,0.00,81.60,163.20,0.00,81.60,163.20,81.60,81.60,0.00,4.17,8.84,0.00,4.28,9.94,4.67,4.78
M,83,O.Dango,6.0,6.0,Brentford,80.70,78.75,78.75,78.75,78.75,78.75,78.75,78.75,4.02,4.24,4.43,3.69,4.61,3.41,4.36,3.52
M,84,Tavernier,5.4,5.4,Bournemouth,82.20,81.90,81.90,81.90,81.90,81.90,81.90,81.90,4.36,3.25,4.07,4.49,4.53,4.17,3.96,4.13
M,85,Adams,4.9,4.9,Bournemouth,0.00,74.55,74.55,74.55,74.55,74.55,74.55,74.55,0.00,2.56,2.91,2.81,2.90,2.76,2.79,2.95
M,86,Brooks,5.0,5.0,Bournemouth,27.90,26.55,26.55,26.55,26.55,26.55,26.55,26.55,1.38,1.03,1.27,1.43,1.43,1.34,1.25,1.30
M,87,Christie,4.9,4.9,Bournemouth,74.10,22.35,22.35,22.35,22.35,22.35,22.35,22.35,3.32,0.87,1.00,1.01,1.03,0.97,0.95,0.99
M,88,Cook,4.9,4.9,Bournemouth,0.00,10.05,10.05,10.05,10.05,10.05,10.05,10.05,0.00,0.39,0.44,0.44,0.44,0.41,0.41,0.45
M,90,Scott,5.1,5.1,Bournemouth,81.90,79.80,79.80,79.80,79.80,79.80,79.80,79.80,3.83,3.21,3.79,3.79,3.85,3.67,3.60,3.85
F,97,Evanilson,6.8,6.8,Bournemouth,70.65,70.65,70.65,70.65,70.65,70.65,70.65,70.65,3.30,2.71,3.32,3.63,3.62,3.35,3.19,3.25
F,98,Enes Ünal,5.4,5.4,Bournemouth,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,0.49,0.40,0.47,0.52,0.56,0.51,0.47,0.48
F,100,Kroupi.Jr,4.7,4.7,Bournemouth,55.65,33.00,33.00,33.00,33.00,33.00,33.00,33.00,2.66,1.36,1.61,1.81,1.86,1.72,1.60,1.65
G,101,Kelleher,4.8,4.8,Brentford,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,3.21,3.54,3.46,2.78,3.37,2.74,3.73,2.58
G,102,Balcombe,3.9,3.9,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,104,Eyestone,3.9,3.9,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,105,Valdimarsson,3.9,3.9,Brentford,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.03,0.03,0.04,0.03,0.04,0.02,0.04,0.03
D,106,Collins,4.9,4.9,Brentford,80.25,39.90,39.90,39.90,39.90,39.90,39.90,39.90,3.74,2.02,1.87,1.58,1.92,1.34,2.02,1.52
D,107,Lewis-Potter,4.8,4.8,Brentford,83.25,33.90,33.90,33.90,33.90,33.90,33.90,33.90,3.41,1.77,1.79,1.31,1.84,1.20,1.83,1.26
D,108,Ajer,4.4,4.4,Brentford,76.20,63.75,63.75,63.75,63.75,63.75,63.75,63.75,3.24,2.97,2.76,2.21,2.84,1.85,3.02,2.13
D,109,Henry,4.3,4.3,Brentford,0.00,75.15,75.15,75.15,75.15,75.15,75.15,75.15,0.00,3.32,3.21,2.25,3.32,1.94,3.36,2.09
D,110,Kayode,4.5,4.5,Brentford,84.75,84.75,84.75,84.75,84.75,84.75,84.75,84.75,3.34,3.83,3.62,2.58,3.69,2.13,3.88,2.42
D,111,Pinnock,4.2,4.2,Brentford,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
D,113,Van den Berg,4.5,4.5,Brentford,79.95,79.95,79.95,79.95,79.95,79.95,79.95,79.95,3.63,3.92,3.67,2.90,3.77,2.41,3.98,2.81
D,116,Hickey,4.0,4.0,Brentford,0.00,20.85,20.85,20.85,20.85,20.85,20.85,20.85,0.00,0.88,0.87,0.69,0.88,0.63,0.90,0.66
M,119,Mbeumo,8.6,8.6,Man Utd,75.75,78.45,78.45,78.45,78.45,78.45,78.45,78.45,4.40,5.01,4.12,5.00,4.45,4.71,4.95,4.36
M,120,Schade,6.9,6.9,Brentford,82.20,80.10,80.10,80.10,80.10,80.10,80.10,80.10,3.96,4.19,4.39,3.57,4.58,3.32,4.34,3.50
M,121,Damsgaard,5.6,5.6,Brentford,29.55,70.80,70.80,70.80,70.80,70.80,70.80,70.80,1.40,3.61,3.64,3.28,3.74,3.08,3.67,3.12
M,122,Milambo,5.2,5.2,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,123,Carvalho,4.7,4.7,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,124,Henderson,5.0,5.0,Brentford,83.25,46.65,46.65,46.65,46.65,46.65,46.65,46.65,2.76,1.68,1.67,1.58,1.70,1.53,1.69,1.55
M,125,Janelt,4.9,4.9,Brentford,0.00,38.25,38.25,38.25,38.25,38.25,38.25,38.25,0.00,1.71,1.68,1.62,1.72,1.55,1.72,1.58
M,126,Jensen,4.9,4.9,Brentford,85.50,77.10,77.10,77.10,77.10,77.10,77.10,77.10,3.35,3.29,3.30,2.89,3.40,2.76,3.30,2.82
M,129,Yarmoliuk,5.0,5.0,Brentford,83.25,57.30,57.30,57.30,57.30,57.30,57.30,57.30,3.06,2.26,2.18,2.13,2.18,2.09,2.22,2.06
M,130,Donovan,4.4,4.4,Brentford,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,0.14,0.15,0.15,0.13,0.15,0.14,0.15,0.13
F,135,Wissa,7.3,7.3,Newcastle,28.20,25.50,51.00,0.00,25.50,25.50,25.50,25.50,1.65,1.34,2.58,0.00,1.45,1.33,1.54,1.36
F,136,Thiago,7.3,7.3,Brentford,84.90,83.40,83.40,83.40,83.40,83.40,83.40,83.40,4.17,4.38,4.72,3.83,4.93,3.58,4.59,3.70
G,138,Steele,4.2,4.2,Brighton,0.90,0.90,1.80,0.00,0.90,0.90,0.90,0.90,0.03,0.04,0.06,0.00,0.03,0.04,0.03,0.03
G,139,Verbruggen,4.5,4.5,Brighton,89.10,89.10,178.20,0.00,89.10,89.10,89.10,89.10,3.04,3.60,6.12,0.00,2.99,3.90,3.29,3.02
G,140,McGill,3.9,3.9,Brighton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,143,Boscagli,4.2,4.2,Brighton,5.85,5.85,11.70,0.00,5.85,5.85,5.85,5.85,0.23,0.27,0.47,0.00,0.23,0.28,0.25,0.23
D,145,De Cuyper,4.3,4.3,Brighton,15.75,15.75,31.50,0.00,15.75,15.75,15.75,15.75,0.72,0.85,1.51,0.00,0.71,0.92,0.77,0.75
D,146,Dunk,4.5,4.5,Brighton,84.45,84.45,168.90,0.00,84.45,84.45,84.45,84.45,3.04,3.81,6.15,0.00,2.84,4.10,3.46,2.99
D,148,F.Kadıoğlu,4.4,4.4,Brighton,84.75,84.75,169.50,0.00,84.75,84.75,84.75,84.75,2.92,3.85,6.14,0.00,2.69,4.27,3.25,2.92
D,149,Igor,4.5,4.5,Brighton,3.60,3.60,7.20,0.00,3.60,3.60,3.60,3.60,0.14,0.14,0.27,0.00,0.13,0.16,0.14,0.13
D,151,Van Hecke,4.4,4.4,Brighton,86.70,86.70,173.40,0.00,86.70,86.70,86.70,86.70,3.54,4.37,7.10,0.00,3.36,4.60,3.98,3.43
D,152,Veltman,4.3,4.3,Brighton,24.45,24.45,48.90,0.00,24.45,24.45,24.45,24.45,1.00,1.19,2.01,0.00,0.97,1.22,1.09,0.99
D,153,Webster,4.4,4.4,Brighton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,156,Tasker,3.8,3.8,Brighton,0.30,0.30,0.60,0.00,0.30,0.30,0.30,0.30,0.01,0.01,0.02,0.00,0.01,0.01,0.01,0.01
M,157,Mitoma,6.1,6.1,Brighton,53.10,81.90,163.80,0.00,81.90,81.90,81.90,81.90,2.36,4.21,7.61,0.00,3.60,4.56,3.68,3.73
M,158,Georginio,5.6,5.6,Brighton,28.95,28.95,57.90,0.00,28.95,28.95,28.95,28.95,1.45,1.64,2.97,0.00,1.40,1.75,1.44,1.47
M,159,March,5.8,5.8,Brighton,3.00,3.00,6.00,0.00,3.00,3.00,3.00,3.00,0.14,0.16,0.28,0.00,0.13,0.15,0.14,0.14
M,160,Minteh,5.5,5.5,Brighton,51.45,24.45,48.90,0.00,24.45,24.45,24.45,24.45,2.33,1.34,2.44,0.00,1.20,1.41,1.19,1.23
M,163,Hinshelwood,5.1,5.1,Brighton,66.60,66.60,133.20,0.00,66.60,66.60,66.60,66.60,2.31,2.54,4.67,0.00,2.25,2.68,2.33,2.33
M,164,O'Riley,5.5,5.5,Brighton,6.75,6.75,13.50,0.00,6.75,6.75,6.75,6.75,0.32,0.36,0.67,0.00,0.33,0.39,0.31,0.35
M,166,Ayari,4.8,4.8,Brighton,35.10,35.10,70.20,0.00,35.10,35.10,35.10,35.10,1.52,1.67,3.10,0.00,1.53,1.70,1.49,1.52
M,167,Baleba,4.5,4.5,Brighton,40.65,40.65,81.30,0.00,40.65,40.65,40.65,40.65,1.52,1.63,3.11,0.00,1.56,1.69,1.49,1.56
M,168,Buonanotte,4.6,4.6,Leeds United,10.20,10.20,10.20,10.20,10.20,10.20,0.00,10.20,0.55,0.46,0.59,0.51,0.61,0.51,0.00,0.52
M,169,Gomez,4.9,4.9,Brighton,72.15,72.15,144.30,0.00,72.15,72.15,72.15,72.15,3.57,4.05,7.36,0.00,3.54,4.32,3.54,3.63
M,170,Milner,4.9,4.9,Brighton,27.15,27.15,54.30,0.00,27.15,27.15,27.15,27.15,1.07,1.22,2.23,0.00,1.08,1.23,1.10,1.11
M,173,Wieffer,4.9,4.9,Brighton,69.00,69.00,138.00,0.00,69.00,69.00,69.00,69.00,3.21,3.47,6.41,0.00,3.23,3.33,3.40,3.19
F,178,Welbeck,6.1,6.1,Brighton,77.10,77.10,154.20,0.00,77.10,77.10,77.10,77.10,3.88,4.55,8.25,0.00,3.84,4.86,3.88,4.07
F,180,Tzimas,5.2,5.2,Brighton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,181,Kostoulas,4.8,4.8,Brighton,16.50,16.50,33.00,0.00,16.50,16.50,16.50,16.50,0.80,0.94,1.64,0.00,0.83,0.97,0.82,0.84
G,182,Trafford,4.5,4.5,Man City,0.00,0.90,1.80,0.00,0.90,1.80,0.90,0.90,0.00,0.03,0.07,0.00,0.03,0.08,0.03,0.03
G,183,Weiss,4.3,4.3,Burnley,0.90,0.90,1.80,0.00,0.90,0.90,0.90,0.90,0.03,0.03,0.05,0.00,0.03,0.03,0.02,0.03
G,185,Hladký,3.9,3.9,Burnley,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,186,Roberts,4.3,4.3,Burnley,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,187,Walker,4.4,4.4,Burnley,81.15,81.15,162.30,0.00,81.15,81.15,81.15,81.15,2.02,2.23,3.70,0.00,2.23,2.26,1.45,2.92
D,190,Ekdal,3.8,3.8,Burnley,4.80,4.80,9.60,0.00,4.80,4.80,4.80,4.80,0.18,0.18,0.34,0.00,0.19,0.19,0.17,0.20
D,191,Estève,3.9,3.9,Burnley,72.00,87.45,174.90,0.00,87.45,87.45,87.45,87.45,2.48,3.17,5.41,0.00,3.40,3.17,2.47,3.85
D,192,Hartman,4.0,4.0,Burnley,3.90,3.90,7.80,0.00,3.90,3.90,3.90,3.90,0.15,0.15,0.29,0.00,0.14,0.15,0.13,0.16
D,193,Humphreys,3.9,3.9,Burnley,82.95,82.95,165.90,0.00,82.95,82.95,82.95,82.95,2.50,2.71,4.57,0.00,2.95,2.77,2.05,3.44
D,194,Jordan,3.9,3.9,Burnley,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,195,Lucas Pires,3.8,3.8,Burnley,71.40,71.40,142.80,0.00,71.40,71.40,71.40,71.40,1.95,2.25,3.66,0.00,2.20,2.27,1.36,2.92
D,198,Tuanzebe,3.9,3.9,Burnley,0.00,12.75,25.50,0.00,12.75,12.75,12.75,12.75,0.00,0.47,0.85,0.00,0.49,0.47,0.41,0.53
D,199,Worrall,3.8,3.8,Burnley,74.85,45.45,90.90,0.00,45.45,45.45,45.45,45.45,2.66,1.78,3.11,0.00,1.88,1.78,1.44,2.11
M,200,Anthony,5.0,5.0,Burnley,75.75,75.75,151.50,0.00,75.75,75.75,75.75,75.75,3.42,3.79,6.68,0.00,3.35,3.66,2.70,4.24
M,202,Bruun Larsen,5.3,5.3,Burnley,6.75,6.75,13.50,0.00,6.75,6.75,6.75,6.75,0.29,0.31,0.56,0.00,0.30,0.31,0.25,0.34
M,203,Boateng,4.7,4.7,Burnley,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,205,Cullen,4.9,4.9,Burnley,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,206,Edwards,4.7,4.7,Burnley,62.85,62.85,125.70,0.00,62.85,62.85,62.85,62.85,2.75,3.02,5.40,0.00,2.73,2.92,2.23,3.37
M,207,Hannibal,4.7,4.7,Burnley,58.65,58.65,117.30,0.00,58.65,58.65,58.65,58.65,2.15,2.26,4.20,0.00,2.13,2.25,1.77,2.50
M,209,Laurent,4.8,4.8,Burnley,72.60,72.60,145.20,0.00,72.60,72.60,72.60,72.60,2.21,2.30,4.56,0.00,2.22,2.37,2.01,2.48
M,210,Tchaouna,4.9,4.9,Burnley,18.00,18.00,36.00,0.00,18.00,18.00,18.00,18.00,0.75,0.79,1.44,0.00,0.72,0.78,0.63,0.84
M,214,Trésor,4.3,4.3,Burnley,5.70,5.70,11.40,0.00,5.70,5.70,5.70,5.70,0.22,0.24,0.43,0.00,0.22,0.23,0.21,0.25
F,215,Flemming,5.3,5.3,Burnley,60.15,60.15,120.30,0.00,60.15,60.15,60.15,60.15,2.57,2.85,5.06,0.00,2.58,2.74,2.09,3.10
F,216,Amdouni,4.8,4.8,Burnley,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,217,Foster,4.9,4.9,Burnley,30.15,30.15,60.30,0.00,30.15,30.15,30.15,30.15,1.29,1.43,2.50,0.00,1.28,1.37,1.07,1.52
F,218,Barnes,4.2,4.2,Burnley,1.50,1.50,3.00,0.00,1.50,1.50,1.50,1.50,0.07,0.07,0.13,0.00,0.07,0.07,0.06,0.07
G,220,Sánchez,4.8,4.8,Chelsea,89.10,45.00,90.00,0.00,45.00,45.00,45.00,45.00,3.26,1.32,2.93,0.00,1.74,1.18,1.66,1.74
G,221,Jörgensen,4.3,4.3,Chelsea,0.00,45.00,90.00,0.00,45.00,45.00,45.00,45.00,0.00,1.36,3.00,0.00,1.76,1.24,1.70,1.82
G,223,Slonina,3.9,3.9,Chelsea,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,224,Cucurella,6.0,6.0,Chelsea,58.65,66.00,132.00,0.00,83.40,83.40,83.40,83.40,2.56,2.14,5.01,0.00,3.85,2.56,3.94,3.86
D,225,James,5.6,5.6,Chelsea,0.00,67.65,135.30,0.00,67.65,67.65,67.65,67.65,0.00,2.48,5.59,0.00,3.46,2.18,3.45,3.35
D,226,Chalobah,5.5,5.5,Chelsea,0.00,0.00,0.00,0.00,85.95,85.95,85.95,85.95,0.00,0.00,0.00,0.00,4.15,3.08,4.27,4.23
D,227,Colwill,4.7,4.7,Chelsea,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,228,Gusto,4.9,4.9,Chelsea,69.30,42.90,85.80,0.00,42.90,42.90,42.90,42.90,3.12,1.52,3.46,0.00,2.06,1.40,2.07,2.00
D,229,B.Badiashile,4.4,4.4,Chelsea,11.25,11.25,22.50,0.00,11.25,11.25,11.25,11.25,0.54,0.44,0.98,0.00,0.53,0.45,0.54,0.55
D,230,Fofana,4.4,4.4,Chelsea,71.40,63.60,127.20,0.00,43.95,43.95,43.95,43.95,3.61,2.36,5.59,0.00,2.15,1.74,2.22,2.24
D,231,M.Sarr,4.5,4.5,Chelsea,45.45,28.50,57.00,0.00,7.05,7.05,7.05,7.05,2.03,0.96,2.27,0.00,0.31,0.27,0.31,0.30
D,232,Tosin,4.0,4.0,Chelsea,30.60,22.35,44.70,0.00,14.25,14.25,14.25,14.25,1.57,0.89,2.04,0.00,0.68,0.59,0.68,0.68
D,233,Acheampong,3.7,3.7,Chelsea,44.25,27.75,55.50,0.00,7.05,7.05,7.05,7.05,2.09,1.04,2.36,0.00,0.32,0.27,0.33,0.33
M,235,Palmer,10.6,10.6,Chelsea,80.40,80.40,160.80,0.00,80.40,80.40,80.40,80.40,4.83,4.66,9.77,0.00,5.39,4.29,5.76,5.09
M,236,Neto,7.0,7.0,Chelsea,77.10,77.10,154.20,0.00,77.10,77.10,77.10,77.10,3.72,3.58,7.46,0.00,4.10,3.34,4.31,3.90
M,237,Enzo,6.6,6.6,Chelsea,84.00,84.00,168.00,0.00,84.00,84.00,84.00,84.00,4.03,3.81,8.07,0.00,4.40,3.60,4.69,4.18
