Pos,ID,Name,BV,SV,Team,36_xMins,37_xMins,38_xMins,36_Pts,37_Pts,38_Pts
M,413,Marmoush,8.3,8.3,Man City,36.00,18.00,18.00,2.58,1.14,1.23
M,414,Foden,8.0,8.0,Man City,30.90,15.45,15.45,2.12,0.97,1.05
M,415,Savinho,6.9,6.9,Man City,30.60,15.30,15.30,1.82,0.80,0.86
M,416,Bernardo,6.2,6.2,Man City,151.20,75.60,75.60,6.74,3.10,3.31
M,417,Cherki,6.6,6.6,Man City,149.40,74.70,74.70,10.54,4.60,5.02
M,418,Doku,6.4,6.4,Man City,138.90,69.45,69.45,8.00,3.60,3.86
M,419,Grealish,6.3,6.3,Everton,0.00,0.00,0.00,0.00,0.00,0.00
M,421,Rodrigo,6.3,6.3,Man City,146.25,79.20,79.20,7.23,3.80,3.93
M,422,Kovačić,5.8,5.8,Man City,6.00,3.00,3.00,0.24,0.12,0.12
M,423,N.Gonzalez,5.9,5.9,Man City,26.40,9.90,9.90,1.06,0.40,0.40
M,424,Bobb,5.1,5.1,Fulham,38.25,38.25,38.25,1.85,1.97,1.83
M,426,McAtee,5.0,5.0,Nott'm Forest,8.25,8.25,8.25,0.41,0.35,0.40
M,427,Reijnders,5.0,5.0,Man City,30.90,15.45,15.45,1.84,0.84,0.88
M,428,Nypan,5.0,5.0,Man City,0.00,0.00,0.00,0.00,0.00,0.00
F,430,Haaland,14.6,14.6,Man City,168.60,84.30,84.30,13.87,5.87,6.51
G,431,Bayindir,4.7,4.7,Man Utd,0.90,0.90,0.90,0.03,0.03,0.03
G,434,Heaton,3.8,3.8,Man Utd,0.00,0.00,0.00,0.00,0.00,0.00
G,435,Mee,3.9,3.9,Man Utd,0.00,0.00,0.00,0.00,0.00,0.00
D,436,De Ligt,4.9,4.9,Man Utd,0.00,0.00,0.00,0.00,0.00,0.00
D,437,Martinez,4.8,4.8,Man Utd,80.55,80.55,80.55,3.46,3.52,2.89
D,438,Mazraoui,4.9,4.9,Man Utd,20.85,20.85,20.85,0.87,0.89,0.79
D,439,D.Leon,4.1,4.1,Man Utd,0.00,0.00,0.00,0.00,0.00,0.00
D,440,Dalot,4.5,4.5,Man Utd,84.00,84.00,84.00,3.71,3.87,3.01
D,441,Dorgu,4.1,4.1,Man Utd,18.30,18.30,18.30,0.87,0.94,0.78
D,442,Maguire,4.4,4.4,Man Utd,79.80,79.80,79.80,3.61,3.72,3.04
D,443,Shaw,4.5,4.5,Man Utd,81.75,81.75,81.75,3.44,3.47,2.86
D,444,Yoro,4.1,4.1,Man Utd,16.20,16.20,16.20,0.68,0.68,0.63
D,446,Fredricson,3.7,3.7,Man Utd,0.00,0.00,0.00,0.00,0.00,0.00
D,447,Heaven,3.7,3.7,Man Utd,16.50,16.50,16.50,0.69,0.70,0.64
D,448,Malacia,3.7,3.7,Man Utd,0.60,0.60,0.60,0.02,0.02,0.02
M,449,B.Fernandes,10.4,10.4,Man Utd,87.60,87.60,87.60,5.63,6.18,4.89
M,450,Cunha,8.1,8.1,Man Utd,81.60,81.60,81.60,4.49,5.00,3.98
M,452,Amad,6.2,6.2,Man Utd,54.60,54.60,54.60,2.78,3.01,2.54
M,453,Garnacho,6.4,6.4,Chelsea,53.10,53.10,53.10,2.58,3.07,2.84
M,455,Mount,5.9,5.9,Man Utd,12.45,12.45,12.45,0.59,0.65,0.58
M,456,Sancho,5.8,5.8,Aston Villa,21.15,21.15,21.15,1.13,0.99,0.86
M,457,Casemiro,5.8,5.8,Man Utd,81.75,81.75,81.75,4.41,4.79,4.07
M,458,Mainoo,4.7,4.7,Man Utd,82.95,82.95,82.95,3.31,3.55,3.12
M,459,Ugarte,4.7,4.7,Man Utd,18.15,18.15,18.15,0.71,0.75,0.70
M,461,Fitzgerald,4.3,4.3,Man Utd,0.30,0.30,0.30,0.01,0.01,0.01
M,462,J.Fletcher,4.3,4.3,Man Utd,1.20,1.20,1.20,0.05,0.06,0.05
F,466,Zirkzee,5.8,5.8,Man Utd,3.00,3.00,3.00,0.16,0.18,0.15
F,467,Obi,4.2,4.2,Man Utd,0.60,0.60,0.60,0.03,0.03,0.03
G,469,Pope,5.0,5.0,Newcastle,81.00,81.00,81.00,2.83,2.62,2.65
G,470,Dúbravka,4.0,4.0,Burnley,89.10,89.10,89.10,2.74,1.64,3.33
G,471,Gillespie,3.9,3.9,Newcastle,0.00,0.00,0.00,0.00,0.00,0.00
D,473,Hall,5.3,5.3,Newcastle,47.10,47.10,47.10,1.97,2.11,1.97
D,474,Schär,5.2,5.2,Newcastle,0.00,0.00,0.00,0.00,0.00,0.00
D,475,Botman,4.9,4.9,Newcastle,78.60,78.60,78.60,3.52,3.54,3.51
D,476,Burn,5.0,5.0,Newcastle,77.40,77.40,77.40,3.08,3.11,3.08
D,477,Livramento,4.9,4.9,Newcastle,0.00,0.00,0.00,0.00,0.00,0.00
D,478,Trippier,4.9,4.9,Newcastle,24.30,24.30,24.30,0.96,1.03,0.95
D,479,Krafth,4.3,4.3,Newcastle,0.00,0.00,0.00,0.00,0.00,0.00
D,481,A.Murphy,3.8,3.8,Newcastle,0.00,0.00,0.00,0.00,0.00,0.00
D,483,Pivas,3.8,3.8,Newcastle,0.00,0.00,0.00,0.00,0.00,0.00
M,485,Gordon,7.4,7.4,Newcastle,47.70,47.70,47.70,2.84,3.27,2.77
M,486,Elanga,6.5,6.5,Newcastle,27.30,27.30,27.30,1.35,1.50,1.33
M,487,Barnes,6.1,6.1,Newcastle,42.60,42.60,42.60,2.14,2.43,2.08
M,488,Bruno G.,6.8,6.8,Newcastle,81.90,81.90,81.90,3.97,4.27,3.78
M,489,J.Murphy,5.9,5.9,Newcastle,38.10,38.10,38.10,1.89,2.11,1.86
M,490,Joelinton,5.9,5.9,Newcastle,71.70,71.70,71.70,2.93,2.98,2.74
M,491,Tonali,5.3,5.3,Newcastle,78.45,78.45,78.45,3.17,3.29,3.01
M,493,Longstaff,4.8,4.8,Leeds United,20.40,12.75,12.75,0.93,0.61,0.58
M,494,Willock,5.0,5.0,Newcastle,26.55,26.55,26.55,1.21,1.27,1.17
M,497,L.Miley,4.4,4.4,Newcastle,72.45,72.45,72.45,2.91,3.06,2.88
F,499,Isak,10.3,10.3,Liverpool,72.15,70.95,70.95,4.60,4.20,4.45
F,500,Osula,5.4,5.4,Newcastle,64.20,64.20,64.20,3.05,3.37,2.99
F,501,Neave,4.3,4.3,Newcastle,0.30,0.30,0.30,0.02,0.02,0.02
G,502,Sels,4.6,4.6,Nott'm Forest,88.20,88.20,88.20,3.04,2.65,3.14
D,505,Milenković,5.1,5.1,Nott'm Forest,87.45,87.45,87.45,3.45,2.83,3.60
D,506,Murillo,5.2,5.2,Nott'm Forest,27.45,82.05,82.05,1.21,2.83,3.56
D,507,Aina,4.7,4.7,Nott'm Forest,36.30,83.25,83.25,1.41,2.43,3.22
D,508,N.Williams,4.8,4.8,Nott'm Forest,83.10,83.10,83.10,3.35,2.61,3.50
D,510,Jair Cunha,4.2,4.2,Nott'm Forest,43.35,8.40,8.40,1.82,0.31,0.35
D,511,Morato,4.3,4.3,Nott'm Forest,69.60,9.60,9.60,3.12,0.40,0.45
D,513,Abbott,3.8,3.8,Nott'm Forest,0.00,0.00,0.00,0.00,0.00,0.00
D,514,Boly,3.8,3.8,Nott'm Forest,0.60,0.60,0.60,0.02,0.02,0.02
M,515,Gibbs-White,7.7,7.7,Nott'm Forest,68.10,81.75,81.75,3.51,3.61,4.17
M,516,Hudson-Odoi,5.7,5.7,Nott'm Forest,0.00,0.00,0.00,0.00,0.00,0.00
M,517,Anderson,5.6,5.6,Nott'm Forest,85.50,85.50,85.50,4.53,4.16,4.47
M,519,Dominguez,5.0,5.0,Nott'm Forest,76.80,46.50,46.50,3.52,1.97,2.14
M,521,Sangaré,4.9,4.9,Nott'm Forest,27.90,82.95,82.95,1.06,2.91,3.12
M,522,Yates,4.7,4.7,Nott'm Forest,25.50,12.00,12.00,1.09,0.46,0.45
M,523,Da Silva Moreira,4.5,4.5,Nott'm Forest,0.60,0.60,0.60,0.03,0.02,0.03
F,525,Wood,7.1,7.1,Nott'm Forest,55.95,45.00,45.00,3.15,2.20,2.48
F,526,Igor Jesus,5.9,5.9,Nott'm Forest,73.50,65.40,65.40,3.46,2.79,3.08
F,527,Awoniyi,5.2,5.2,Nott'm Forest,15.45,15.45,15.45,0.82,0.82,0.88
G,529,Moore,3.9,3.9,Sunderland,0.00,0.00,0.00,0.00,0.00,0.00
D,531,Ballard,4.7,4.7,Sunderland,0.00,0.00,0.00,0.00,0.00,0.00
D,532,Hume,4.5,4.5,Sunderland,72.60,72.60,72.60,2.61,2.57,2.61
D,535,Cirkin,4.0,4.0,Sunderland,6.90,6.90,6.90,0.24,0.25,0.24
D,539,O'Nien,4.0,4.0,Sunderland,73.05,73.05,73.05,2.41,2.53,2.37
D,541,Reinildo,3.8,3.8,Sunderland,73.95,73.95,73.95,2.20,2.35,2.19
M,544,Diarra,5.3,5.3,Sunderland,67.50,67.50,67.50,2.79,2.65,2.69
M,546,Aleksić,4.9,4.9,Sunderland,0.90,0.90,0.90,0.03,0.04,0.03
M,547,E.Le Fée,4.8,4.8,Sunderland,82.65,82.65,82.65,3.68,3.57,3.55
M,548,Mundle,4.9,4.9,Sunderland,0.00,0.00,0.00,0.00,0.00,0.00
M,550,Poveda,4.7,4.7,Sunderland,0.00,0.00,0.00,0.00,0.00,0.00
M,551,Rigg,4.7,4.7,Sunderland,13.35,13.35,13.35,0.53,0.50,0.51
M,552,Sadiki,4.9,4.9,Sunderland,83.25,83.25,83.25,2.58,2.53,2.52
M,553,Talbi,4.9,4.9,Sunderland,65.10,65.10,65.10,2.88,2.75,2.79
M,554,Ba,4.3,4.3,Sunderland,0.00,0.00,0.00,0.00,0.00,0.00
M,557,H.Jones,4.3,4.3,Sunderland,0.00,0.00,0.00,0.00,0.00,0.00
F,560,Isidor,5.0,5.0,Sunderland,15.45,15.45,15.45,0.73,0.72,0.75
F,561,Mayenda,5.1,5.1,Sunderland,9.75,9.75,9.75,0.45,0.42,0.44
F,562,Abdullahi,4.2,4.2,Sunderland,0.60,0.60,0.60,0.03,0.03,0.03
G,565,Vicario,4.7,4.7,Spurs,18.00,89.10,89.10,0.68,2.83,3.42
G,566,Austin,3.9,3.9,Spurs,0.00,0.00,0.00,0.00,0.00,0.00
G,567,Kinsky,3.9,3.9,Spurs,72.00,0.90,0.90,2.89,0.03,0.03
D,568,Pedro Porro,5.2,5.2,Spurs,84.90,84.90,84.90,4.72,2.94,4.33
D,569,Romero,5.0,5.0,Spurs,0.00,0.00,0.00,0.00,0.00,0.00
D,570,Danso,4.2,4.2,Spurs,81.60,81.60,81.60,4.55,3.13,4.37
D,571,Davies,4.3,4.3,Spurs,0.00,0.00,0.00,0.00,0.00,0.00
D,572,Dragusin,4.5,4.5,Spurs,8.55,8.55,8.55,0.41,0.34,0.42
D,573,Spence,4.1,4.1,Spurs,34.95,34.95,34.95,1.56,1.08,1.48
D,574,Udogie,4.3,4.3,Spurs,68.40,68.40,68.40,3.09,1.97,2.91
D,575,Van de Ven,4.4,4.4,Spurs,86.70,86.70,86.70,3.84,2.36,3.65
M,580,Johnson,6.5,6.5,Crystal Palace,136.20,68.10,68.10,5.55,2.83,2.55
M,581,Maddison,6.8,6.8,Spurs,3.00,3.00,3.00,0.16,0.14,0.17
M,582,Kudus,6.4,6.4,Spurs,0.00,0.00,0.00,0.00,0.00,0.00
M,583,Kulusevski,6.4,6.4,Spurs,0.00,0.00,0.00,0.00,0.00,0.00
M,584,Tel,6.2,6.2,Spurs,79.35,70.65,70.65,4.59,3.26,3.85
M,585,Bentancur,5.2,5.2,Spurs,73.05,73.05,73.05,3.19,2.93,3.25
M,586,Bergvall,5.2,5.2,Spurs,41.70,41.70,41.70,1.64,1.44,1.58
M,587,Bissouma,5.2,5.2,Spurs,56.40,56.40,56.40,2.07,1.93,2.14
M,588,Odobert,5.3,5.3,Spurs,0.00,0.00,0.00,0.00,0.00,0.00
M,591,Gray,4.8,4.8,Spurs,21.75,21.75,21.75,0.84,0.76,0.82
M,593,P.M.Sarr,4.5,4.5,Spurs,25.35,25.35,25.35,1.19,1.06,1.14
M,595,Olusesi,4.3,4.3,Spurs,0.30,0.30,0.30,0.02,0.01,0.01
F,596,Solanke,7.1,7.1,Spurs,14.55,40.05,40.05,0.88,1.84,2.14
F,597,Richarlison,6.3,6.3,Spurs,77.25,66.60,66.60,4.76,3.08,3.58
G,600,Areola,4.2,4.2,West Ham,0.90,0.90,0.90,0.03,0.03,0.03
D,603,Diouf,4.1,4.1,West Ham,84.75,84.75,84.75,2.50,2.76,3.58
D,605,Kilman,4.1,4.1,West Ham,3.00,3.00,3.00,0.11,0.11,0.11
D,606,Mavropanos,4.5,4.5,West Ham,84.75,84.75,84.75,3.37,3.63,4.46
D,608,Scarles,4.3,4.3,West Ham,7.35,7.35,7.35,0.29,0.31,0.35
D,609,Todibo,4.3,4.3,West Ham,15.75,15.75,15.75,0.51,0.53,0.58
D,610,Wan-Bissaka,4.1,4.1,West Ham,21.30,21.30,21.30,0.73,0.77,0.87
M,613,Souček,5.7,5.7,West Ham,78.45,78.45,78.45,2.90,3.39,3.35
M,614,Ward-Prowse,5.6,5.6,Burnley,66.60,66.60,66.60,3.03,2.50,3.40
M,615,Summerville,5.5,5.5,West Ham,80.55,80.55,80.55,3.30,3.91,4.01
M,623,Potts,4.3,4.3,West Ham,12.60,12.60,12.60,0.45,0.47,0.47
F,624,Bowen,7.8,7.8,West Ham,87.60,87.60,87.60,3.74,4.39,4.55
G,627,Johnstone,4.4,4.4,Wolves,0.00,0.00,0.00,0.00,0.00,0.00
G,628,José Sá,4.2,4.2,Wolves,0.00,72.00,72.00,0.00,2.16,2.62
G,629,Bentley,3.9,3.9,Wolves,89.10,18.00,18.00,2.22,0.53,0.63
G,630,King,3.9,3.9,Everton,0.00,0.00,0.00,0.00,0.00,0.00
D,632,Doherty,4.4,4.4,Wolves,16.65,12.45,12.45,0.55,0.50,0.56
D,633,H.Bueno,4.3,4.3,Wolves,79.20,79.20,79.20,1.99,2.84,3.38
D,634,Mosquera,4.3,4.3,Wolves,81.00,81.00,81.00,2.05,2.70,3.29
D,635,R.Gomes,4.4,4.4,Wolves,32.85,32.85,32.85,1.03,1.45,1.64
D,636,S.Bueno,4.4,4.4,Wolves,83.85,83.85,83.85,2.29,3.15,3.74
D,637,Toti,4.2,4.2,Wolves,60.75,30.75,30.75,1.75,1.12,1.29
D,640,Pedro Lima,4.0,4.0,Wolves,58.80,58.80,58.80,1.62,2.33,2.70
M,642,Hee Chan,5.6,5.6,Wolves,18.30,18.30,18.30,0.85,0.98,0.98
M,643,André,5.2,5.2,Wolves,78.45,78.45,78.45,2.75,2.85,3.21
M,644,Bellegarde,5.1,5.1,Wolves,51.45,51.45,51.45,1.86,2.15,2.21
M,646,J.Gomes,5.3,5.3,Wolves,78.45,78.45,78.45,2.93,3.16,3.48
M,651,Edozie,4.3,4.3,Wolves,0.00,0.00,0.00,0.00,0.00,0.00
M,652,Gonzalez,4.3,4.3,Wolves,0.60,0.60,0.60,0.02,0.03,0.03
F,654,Strand Larsen,5.9,5.9,Crystal Palace,112.20,56.10,56.10,5.00,2.57,2.27
F,657,Chiwome,4.4,4.4,Wolves,0.00,0.00,0.00,0.00,0.00,0.00
F,658,Fraser,4.2,4.2,Wolves,0.30,0.30,0.30,0.01,0.02,0.02
D,659,Walker-Peters,4.2,4.2,West Ham,77.70,77.70,77.70,2.58,2.80,3.68
M,660,Stach,4.8,4.8,Leeds United,80.70,80.70,80.70,3.87,3.96,3.83
F,661,Ekitiké,9.0,9.0,Liverpool,0.00,0.00,0.00,0.00,0.00,0.00
D,662,Mosquera,5.3,5.3,Arsenal,34.35,22.20,14.10,1.52,1.14,0.68
G,664,Lecomte,3.9,3.9,Fulham,0.90,0.90,0.90,0.03,0.03,0.03
G,665,Perri,4.4,4.4,Leeds United,0.90,0.90,0.90,0.03,0.03,0.03
F,666,Gyökeres,8.9,8.9,Arsenal,61.20,61.20,61.20,3.41,4.47,3.16
D,667,Aznou,4.2,4.2,Everton,0.30,0.30,0.30,0.01,0.01,0.01
M,668,Xhaka,5.1,5.1,Sunderland,79.80,79.80,79.80,3.26,3.24,3.14
M,669,Ndoye,5.5,5.5,Nott'm Forest,9.45,21.45,21.45,0.45,0.91,0.99
G,670,Roefs,4.8,4.8,Sunderland,89.10,89.10,89.10,3.15,2.82,3.15
F,671,Wilson,5.8,5.8,West Ham,23.85,23.85,23.85,1.12,1.30,1.34
D,672,Hato,4.6,4.6,Chelsea,36.90,36.90,36.90,1.19,1.68,1.71
M,673,J.Palhinha,5.5,5.5,Spurs,30.75,30.75,30.75,1.26,1.15,1.29
G,674,Ramsdale,4.8,4.8,Newcastle,9.00,9.00,9.00,0.31,0.29,0.29
G,675,Gunn,4.0,4.0,Nott'm Forest,0.00,0.00,0.00,0.00,0.00,0.00
M,676,Ugochukwu,5.0,5.0,Burnley,50.70,50.70,50.70,1.75,1.51,1.98
M,677,Guessand,6.2,6.2,Crystal Palace,0.00,0.00,0.00,0.00,0.00,0.00
G,679,Hermansen,4.2,4.2,West Ham,89.10,89.10,89.10,2.71,3.04,3.47
F,680,Broja,5.2,5.2,Burnley,15.30,15.30,15.30,0.73,0.62,0.83
F,681,Šeško,7.3,7.3,Man Utd,55.05,55.05,55.05,2.91,3.18,2.62
D,682,Møller Wolfe,4.2,4.2,Wolves,5.10,5.10,5.10,0.19,0.20,0.21
D,683,Alderete,4.1,4.1,Sunderland,83.85,83.85,83.85,3.40,3.63,3.32
D,684,Thiaw,5.0,5.0,Newcastle,84.75,84.75,84.75,3.54,3.63,3.53
D,685,Diakité,4.1,4.1,Bournemouth,7.35,7.35,7.35,0.27,0.25,0.27
M,686,Ngumoha,4.3,4.3,Liverpool,30.45,29.25,29.25,1.77,1.66,1.70
M,687,Rees-Dottin,4.3,4.3,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00
G,688,Wright,3.9,3.9,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00
M,689,Seung soo,4.3,4.3,Newcastle,0.30,0.30,0.30,0.02,0.02,0.02
M,690,Cardines,4.4,4.4,Crystal Palace,2.40,1.20,1.20,0.09,0.04,0.04
F,691,Calvert-Lewin,5.8,5.8,Leeds United,81.90,81.90,81.90,3.65,4.14,3.92
D,692,Leoni,4.9,4.9,Liverpool,0.00,0.00,0.00,0.00,0.00,0.00
M,693,Hutchinson,5.4,5.4,Nott'm Forest,66.60,66.60,66.60,3.18,2.79,3.18
D,694,Mukiele,4.6,4.6,Sunderland,82.95,82.95,82.95,3.06,3.23,3.00
D,695,Tchatchoua,4.4,4.4,Wolves,16.35,16.35,16.35,0.50,0.64,0.68
M,697,Adli,5.4,5.4,Bournemouth,21.15,21.15,21.15,1.14,1.02,1.09
M,698,Okafor,5.6,5.6,Leeds United,62.10,62.10,62.10,2.80,3.07,2.98
M,699,Douglas Luiz,4.9,4.9,Aston Villa,18.00,18.00,18.00,0.88,0.78,0.70
M,700,Dowman,4.2,4.2,Arsenal,8.10,8.10,8.10,0.45,0.56,0.43
M,702,Burrowes,4.3,4.3,Aston Villa,0.90,0.90,0.90,0.05,0.04,0.04
G,703,Proctor,3.9,3.9,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00
D,706,Justin,4.0,4.0,Leeds United,84.00,80.25,80.25,3.34,3.23,3.40
M,707,Dibling,5.3,5.3,Everton,12.45,12.45,12.45,0.57,0.65,0.61
M,708,M.Fernandes,5.5,5.5,West Ham,83.25,83.25,83.25,3.11,3.67,3.54
D,709,Krejčí,4.5,4.5,Wolves,36.60,69.45,69.45,1.13,2.70,3.18
D,710,Patterson,3.9,3.9,Aston Villa,0.30,0.30,0.30,0.01,0.01,0.01
M,711,Harriman-Annous,4.4,4.4,Arsenal,0.30,0.30,0.30,0.02,0.02,0.02
M,712,Yeremy,5.8,5.8,Crystal Palace,105.30,52.65,52.65,4.69,2.44,2.14
D,713,A.Jimenez,4.5,4.5,Bournemouth,79.05,79.05,79.05,3.04,2.28,3.18
F,714,Woltemade,6.7,6.7,Newcastle,21.30,21.30,21.30,1.15,1.28,1.17
G,715,John,4.0,4.0,Nott'm Forest,0.30,0.30,0.30,0.01,0.01,0.01
D,716,Savona,4.5,4.5,Nott'm Forest,0.00,0.00,0.00,0.00,0.00,0.00
M,717,Xavi,6.4,6.4,Spurs,0.00,0.00,0.00,0.00,0.00,0.00
M,718,S.Magassa,5.0,5.0,West Ham,23.40,23.40,23.40,0.78,0.88,0.85
D,719,Lindelöf,4.5,4.5,Aston Villa,12.15,12.15,12.15,0.48,0.39,0.36
F,720,Tolu,5.2,5.2,Wolves,50.70,50.70,50.70,2.02,2.39,2.39
D,721,Milosavljević,4.4,4.4,Bournemouth,5.55,5.55,5.55,0.23,0.21,0.24
M,722,Florentino,5.0,5.0,Burnley,15.30,15.30,15.30,0.60,0.53,0.62
D,723,Canvot,4.5,4.5,Crystal Palace,156.00,78.00,78.00,6.17,3.19,3.23
D,724,Geertruida,4.5,4.5,Sunderland,12.75,12.75,12.75,0.49,0.49,0.49
D,725,Hincapie,5.1,5.1,Arsenal,54.90,54.90,54.90,2.68,3.23,3.06
F,726,Kolo Muani,6.9,6.9,Spurs,77.55,73.05,73.05,3.98,3.02,3.46
M,727,Chukwueze,5.3,5.3,Fulham,52.95,52.95,52.95,2.76,2.99,2.76
M,728,Röhl,5.0,5.0,Everton,12.45,12.45,12.45,0.57,0.55,0.55
F,730,Brobbey,5.3,5.3,Sunderland,79.35,79.35,79.35,3.51,3.20,3.31
M,731,Kevin,5.7,5.7,Fulham,0.00,0.00,0.00,0.00,0.00,0.00
F,732,Uche,5.5,5.5,Crystal Palace,11.40,5.70,5.70,0.54,0.27,0.26
G,733,Lammens,5.1,5.1,Man Utd,89.10,89.10,89.10,3.47,3.61,3.11
M,734,Bakwa,5.9,5.9,Nott'm Forest,51.45,30.90,30.90,2.30,1.23,1.35
M,735,Traoré,5.5,5.5,Sunderland,13.95,13.95,13.95,0.65,0.61,0.61
G,736,Donnarumma,5.6,5.6,Man City,176.40,88.20,88.20,6.85,3.14,3.68
F,737,Kusi-Asare,4.5,4.5,Fulham,3.00,3.00,3.00,0.16,0.18,0.15
G,738,Fabianski,4.5,4.5,West Ham,0.00,0.00,0.00,0.00,0.00,0.00
M,742,McAidoo,4.5,4.5,Man City,0.60,0.30,0.30,0.03,0.01,0.01
M,743,Emenalo,4.5,4.5,Chelsea,0.00,0.00,0.00,0.00,0.00,0.00
M,744,Oriola,4.5,4.5,Brighton,0.00,0.00,0.00,0.00,0.00,0.00
D,745,Byfield,4.0,4.0,Spurs,0.00,0.00,0.00,0.00,0.00,0.00
M,746,Morrison,4.5,4.5,Liverpool,0.00,0.00,0.00,0.00,0.00,0.00
D,747,Mayers,4.0,4.0,West Ham,1.50,1.50,1.50,0.05,0.06,0.06
M,748,Dasilva,4.9,4.9,Brentford,9.00,9.00,9.00,0.34,0.38,0.35
F,749,Mané,4.2,4.2,Wolves,65.40,65.40,65.40,2.10,2.41,2.42
D,750,Rowswell,4.0,4.0,Spurs,0.00,0.00,0.00,0.00,0.00,0.00
D,752,Golambeckis,4.0,4.0,West Ham,0.00,0.00,0.00,0.00,0.00,0.00
G,753,Ruddy,4.0,4.0,Newcastle,0.00,0.00,0.00,0.00,0.00,0.00
M,754,George Hemmings,4.5,4.5,Aston Villa,1.50,1.50,1.50,0.08,0.06,0.06
M,755,Lacey,4.5,4.5,Man Utd,1.50,1.50,1.50,0.07,0.07,0.07
M,756,DaCosta,4.5,4.5,Bournemouth,0.30,0.30,0.30,0.01,0.01,0.01
G,757,Hollingshead,4.0,4.0,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00
M,758,Mohamadou Kanté,4.5,4.5,West Ham,6.00,6.00,6.00,0.20,0.20,0.21
D,759,Salmon,4.0,4.0,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00
D,760,Lucky,4.0,4.0,Liverpool,0.30,0.30,0.30,0.01,0.01,0.01
D,761,Simmonds,4.0,4.0,Brighton,0.30,0.30,0.30,0.01,0.01,0.01
M,762,Drakes-Thomas,4.5,4.5,Crystal Palace,2.40,1.20,1.20,0.12,0.06,0.05
M,763,Gray,4.5,4.5,Man City,0.60,0.30,0.30,0.03,0.01,0.01
M,764,Heskey,4.5,4.5,Man City,0.60,0.30,0.30,0.03,0.01,0.01
D,765,Shahar,4.0,4.0,Newcastle,0.00,0.00,0.00,0.00,0.00,0.00
D,766,Olagunju,4.0,4.0,Wolves,0.30,0.30,0.30,0.01,0.01,0.01
M,767,Rawlings,4.5,4.5,Wolves,0.00,0.00,0.00,0.00,0.00,0.00
D,768,Leon Routh,4.0,4.0,Aston Villa,0.30,0.30,0.30,0.01,0.01,0.01
M,769,Bendito Mantato,4.5,4.5,Man Utd,0.00,0.00,0.00,0.00,0.00,0.00
M,770,Ridgeon,4.5,4.5,Fulham,0.30,0.30,0.30,0.01,0.01,0.01
M,771,Fletcher,4.4,4.4,Man Utd,0.30,0.30,0.30,0.01,0.01,0.01
M,772,Alabi,4.5,4.5,Newcastle,0.00,0.00,0.00,0.00,0.00,0.00
D,773,Benamar,4.0,4.0,Crystal Palace,0.00,0.00,0.00,0.00,0.00,0.00
D,774,Jenson Jones,4.0,4.0,Sunderland,0.00,0.00,0.00,0.00,0.00,0.00
M,776,Pimlott,4.5,4.5,Burnley,0.00,0.00,0.00,0.00,0.00,0.00
M,778,Sutherland,4.5,4.5,Wolves,0.00,0.00,0.00,0.00,0.00,0.00
F,779,Graham,4.5,4.5,Everton,0.00,0.00,0.00,0.00,0.00,0.00
F,780,Casey,4.5,4.5,Crystal Palace,0.60,0.30,0.30,0.03,0.01,0.01
D,781,Carroll,4.0,4.0,Aston Villa,0.30,0.30,0.30,0.01,0.01,0.01
G,782,Forster,4.0,4.0,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00
M,783,Groß,5.5,5.5,Brighton,85.35,85.35,85.35,4.80,3.88,3.89
M,784,Brierley,4.5,4.5,Burnley,0.00,0.00,0.00,0.00,0.00,0.00
F,785,Pablo,5.4,5.4,West Ham,67.80,67.80,67.80,2.38,2.65,2.68
G,786,McNally,4.0,4.0,Fulham,0.00,0.00,0.00,0.00,0.00,0.00
M,787,Chambers,4.4,4.4,Leeds United,0.00,0.00,0.00,0.00,0.00,0.00
D,788,Kukonki,4.0,4.0,Man Utd,0.00,0.00,0.00,0.00,0.00,0.00
G,789,Merrick,4.0,4.0,Chelsea,0.00,0.00,0.00,0.00,0.00,0.00
M,790,Williams-Barnett,4.5,4.5,Spurs,0.00,0.00,0.00,0.00,0.00,0.00
F,791,Taty,5.5,5.5,West Ham,76.20,76.20,76.20,2.98,3.47,3.57
M,792,Alysson,5.0,5.0,Aston Villa,9.75,9.75,9.75,0.53,0.48,0.40
D,793,King,4.0,4.0,Crystal Palace,0.00,0.00,0.00,0.00,0.00,0.00
D,794,Alleyne,3.9,3.9,Man City,0.00,0.00,0.00,0.00,0.00,0.00
M,795,Howell,4.5,4.5,Brighton,3.75,3.75,3.75,0.23,0.19,0.19
M,796,Gallagher,5.0,5.0,Spurs,78.45,78.45,78.45,3.55,2.87,3.34
F,797,Furo,4.5,4.5,Brentford,6.00,6.00,6.00,0.27,0.34,0.27
M,799,Stevens,4.5,4.5,Bournemouth,0.30,0.30,0.30,0.01,0.01,0.01
M,800,Jocelin.T,4.9,4.9,Sunderland,13.80,13.80,13.80,0.59,0.57,0.58
M,801,Tóth.A,4.9,4.9,Bournemouth,8.40,8.40,8.40,0.39,0.35,0.35
